,co_ope,dt_base,vlr_base,dt_nasc,sexo,renda,renda_liq,dt_relac,co_cart,co_prof,cep
933,17,44829,1105.51,32294.0,0,1300.0,1300.0,39187.0,0,240,14239
934,21,44857,749.72,28666.0,0,1587.14,1587.14,39050.0,0,236,5401
935,17,44843,1100.41,28666.0,0,1587.14,1587.14,39050.0,0,236,5401
936,58,44613,725.25,28666.0,0,1587.14,1587.14,39050.0,0,236,5401
937,17,44843,474.37,28937.0,0,1583.65,569.2,40768.0,0,182,4033
938,60,44613,1731.83,24151.0,0,2572.64,2257.0,40624.0,0,289,204
939,17,44843,1486.62,24151.0,0,2572.64,2257.0,40624.0,0,289,204
940,58,44613,1124.91,24151.0,0,2572.64,2257.0,40624.0,0,289,204
941,6,44857,1330.86,33546.0,0,0.0,0.0,41519.0,0,247,22772
942,56,44613,1057.7,29400.0,0,0.0,0.0,37793.0,0,31,3084
943,60,44613,1086.02,32839.0,0,0.0,0.0,40831.0,0,240,22833
944,16,44857,4448.45,29052.0,0,3024.0,3024.0,40257.0,0,73,5435
945,58,44613,219.91,28997.0,0,1600.0,1600.0,38206.0,0,156,8176
946,58,44856,3092.65,34180.0,0,0.0,0.0,41043.0,0,48,13628
947,56,44856,2089.38,34180.0,0,0.0,0.0,41043.0,0,48,13628
948,58,44613,6300.0,21780.0,0,0.0,0.0,38759.0,0,130,17733
949,60,44613,9862.08,21780.0,0,0.0,0.0,38759.0,0,130,17733
950,60,44613,957.92,32101.0,0,0.0,0.0,40320.0,0,151,8353
951,6,44857,4567.51,14628.0,0,545.0,382.47,34213.0,0,277,22475
952,6,44857,4993.3,37322.0,0,963.73,862.54,38766.0,0,278,13381
953,16,44857,705.28,28937.0,0,1045.0,1045.0,38648.0,0,236,7032
954,6,44857,10362.36,17522.0,0,927.74,650.03,41308.0,0,277,1474
955,6,44857,4746.5,19019.0,0,5530.9,5530.9,36967.0,0,277,8381
956,17,44857,2218.84,23968.0,0,2684.79,1757.99,39950.0,0,277,1155
957,58,44613,2027.32,23968.0,0,2684.79,1757.99,39950.0,0,277,1155
958,21,44857,5948.43,23968.0,0,2684.79,1757.99,39950.0,0,277,1155
959,56,44856,866.87,24233.0,0,2469.54,2469.54,39061.0,0,277,1165
960,21,44857,1481.47,32423.0,0,0.0,0.0,39627.0,0,181,8131
961,21,44857,3494.78,32423.0,0,0.0,0.0,39627.0,0,181,8131
962,17,44857,1335.63,32423.0,0,0.0,0.0,39627.0,0,181,8131
963,16,44857,508.83,31845.0,0,0.0,0.0,39315.0,0,220,7910
964,58,44613,42.18,31147.0,0,0.0,0.0,42021.0,0,241,23397
965,16,44857,5094.07,31653.0,0,1974.65,1974.65,39824.0,0,132,8100
966,60,44735,17772.32,31484.0,0,0.0,0.0,38553.0,0,35,17958
967,10,44857,28226.47,29477.0,0,3500.0,2866.11,38524.0,0,429,5523
968,8,44857,3426.82,35139.0,0,0.0,0.0,42259.0,0,163,14642
969,6,44901,20263.72,20238.0,0,5919.12,2908.67,36544.0,0,130,19571
970,6,44901,21791.39,20238.0,0,5919.12,2908.67,36544.0,0,130,19571
971,58,44803,2952.99,33368.0,0,7550.0,4793.91,40895.0,0,132,14430
972,8,44857,1523.67,31815.0,0,1500.0,1500.0,41675.0,0,163,6737
973,8,44857,2631.7,31815.0,0,1500.0,1500.0,41675.0,0,163,6737
974,8,44857,2630.59,35401.0,0,0.0,0.0,42606.0,0,300,11395
975,56,44613,1569.62,33092.0,0,1149.85,1005.07,41269.0,0,182,13639
976,56,44613,1019.42,28861.0,0,0.0,0.0,30766.0,0,74,3483
977,6,44901,2290.88,17753.0,0,998.0,758.82,37030.0,0,277,21748
978,6,44857,1284.19,17753.0,0,998.0,758.82,37030.0,0,277,21748
979,6,44857,163.25,17753.0,0,998.0,758.82,37030.0,0,277,21748
980,56,44613,1281.83,24722.0,0,2071.22,1963.29,40838.0,0,132,1361
981,17,44843,2147.2,24722.0,0,2071.22,1963.29,40838.0,0,132,1361
982,56,44613,1982.86,32861.0,0,0.0,0.0,41105.0,0,149,13644
983,17,44843,1175.39,32861.0,0,0.0,0.0,41105.0,0,149,13644
984,60,44853,2166.74,33474.0,0,1883.0,1883.0,41414.0,0,126,13662
985,60,44613,3352.51,24841.0,0,1415.54,1415.54,38907.0,0,278,1385
986,58,44613,2570.55,24841.0,0,1415.54,1415.54,38907.0,0,278,1385
987,58,44613,884.8,33768.0,0,1950.0,1950.0,41196.0,0,163,7267
988,5,44857,2989.66,33768.0,0,1950.0,1950.0,41196.0,0,163,7267
989,17,44857,1031.31,33768.0,0,1950.0,1950.0,41196.0,0,163,7267
990,16,44857,1620.79,32331.0,0,0.0,0.0,42064.0,0,149,7174
991,58,44613,1463.91,24147.0,0,2000.0,1820.0,40442.0,0,240,1512
992,56,44613,802.62,20141.0,0,1200.0,1200.0,37564.0,0,182,1554
993,58,44613,860.84,31776.0,0,1600.0,1600.0,39839.0,0,150,12193
994,6,44857,5094.39,31776.0,0,1600.0,1600.0,39839.0,0,150,12193
995,7,44857,566.93,34318.0,0,0.0,0.0,41919.0,0,475,7267
996,7,44857,2058.02,34318.0,0,0.0,0.0,41919.0,0,475,7267
997,6,44857,4137.12,23602.0,0,0.0,0.0,38441.0,0,241,1551
998,6,44901,3310.34,18972.0,0,5005.72,2953.04,39858.0,0,277,14646
999,6,44901,5149.36,18972.0,0,5005.72,2953.04,39858.0,0,277,14646
